"ID_MGN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_recoleccion","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
47339,1,0,1,4,1,1,75,100,100,0.722222222222222,2.22222222222222,0.222222222222222,0.111111111111111,1
47340,1,0,1,4,1,0,100,100,100,1.03703703703704,1.85185185185185,0.0740740740740741,0.0740740740740741,1
47341,1,0,1,4,1,0,75,100,100,0.595744680851064,1.12765957446809,0.127659574468085,0.0638297872340425,1
47342,1,1,2,4,1,2,100,100,100,0.506024096385542,1.42168674698795,0.0843373493975904,0.0481927710843374,1
47343,1,0,2,5,1,0,80,100,80,0.979166666666667,2.04166666666667,0.125,0.0833333333333333,1
47344,1,0,1,4,1,1,85.7142857142857,100,85.7142857142857,0.552631578947368,1.21052631578947,0.157894736842105,0.0657894736842105,1
47345,2,1,2,4,1,1,100,100,100,0.181818181818182,1.63636363636364,0.727272727272727,0.272727272727273,1
47346,1,0,2,4,1,0,100,100,100,2.31034482758621,1.79310344827586,0.103448275862069,0.0689655172413793,1
47348,0,1,3,2,1,0,86.268032209008,86.485919736114,94.0033444054856,0.785714285714286,1.82142857142857,0.25,0.0357142857142857,3
47349,0,1,3,2,1,0,86.268032209008,86.485919736114,94.0033444054856,1.28571428571429,1.94285714285714,0.228571428571429,0.0285714285714286,3
47350,0,1,3,4,1,1,86.268032209008,86.485919736114,94.0033444054856,0.783783783783784,1.81081081081081,0.189189189189189,0,3
47351,0,0,3,4,1,1,86.268032209008,86.485919736114,94.0033444054856,0.605263157894737,1.63157894736842,0.184210526315789,0.0263157894736842,3
47352,0,0,3,4,1,0,50,100,100,0.617021276595745,1.46808510638298,0.234042553191489,0.0638297872340425,3
47353,1,0,2,5,1,0,81.8181818181818,100,90.9090909090909,0.84,1.4,0.32,0.04,1
47354,3,0,2,4,1,3,100,96.1538461538462,96.1538461538462,0.729166666666667,1.07083333333333,0.1625,0.0333333333333333,1
47355,3,0,2,4,1,2,100,95.2380952380952,100,0.783582089552239,1.41044776119403,0.216417910447761,0.0522388059701493,1
47356,3,0,2,4,1,3,100,100,100,0.836734693877551,1.61224489795918,0.183673469387755,0.0306122448979592,1
47357,2,0,2,4,1,3,86.268032209008,86.485919736114,94.0033444054856,0.885245901639344,1.65573770491803,0.213114754098361,0.0491803278688525,1
47358,3,0,2,4,1,2,100,88.8888888888889,100,0.685483870967742,1.14516129032258,0.153225806451613,0.0403225806451613,1
47359,3,0,1,4,1,3,100,86.9565217391304,100,0.783783783783784,1.45945945945946,0.171171171171171,0.0630630630630631,2
47360,3,0,2,4,1,6,95.7446808510638,87.2340425531915,100,0.849206349206349,1.3015873015873,0.126984126984127,0.0952380952380952,1
47361,2,1,3,4,1,5,78,82,100,0.9375,1.625,0.625,0.166666666666667,3
47362,1,1,3,4,1,10,85,87.5,100,0.617511520737327,0.953917050691244,0.101382488479263,0.032258064516129,3
47363,1,0,2,4,1,3,90,90,100,0.973684210526316,2.59210526315789,0.144736842105263,0.0526315789473684,1
47364,1,0,3,4,1,3,85.7142857142857,85.7142857142857,100,0.358208955223881,2.2089552238806,0.0895522388059701,0.0597014925373134,1
47365,1,1,3,5,1,7,58.8235294117647,88.2352941176471,88.2352941176471,0.648550724637681,1.04347826086957,0.181159420289855,0.0434782608695652,3
47366,3,2,3,4,1,9,89.1891891891892,91.8918918918919,97.2972972972973,0.561872909698997,0.959866220735786,0.220735785953177,0.0635451505016722,3
47367,0,2,3,4,1,5,100,88.8888888888889,94.4444444444444,0.484848484848485,0.878787878787879,0.181818181818182,0.0606060606060606,3
47368,0,2,3,4,1,0,100,100,66.6666666666667,0.722222222222222,1.30555555555556,0.152777777777778,0.0416666666666667,3
47369,0,1,3,4,1,2,100,66.6666666666667,66.6666666666667,0.7,1.1,0.155555555555556,0.0333333333333333,3
47370,1,0,3,4,1,0,100,75,75,0.662162162162162,1.10810810810811,0.175675675675676,0.027027027027027,3
47371,1,0,3,4,1,1,100,66.6666666666667,66.6666666666667,0.523076923076923,1.03076923076923,0.153846153846154,0.0307692307692308,3
47372,2,0,3,4,1,1,100,100,100,0.615384615384615,1.13461538461538,0.192307692307692,0.0576923076923077,1
47373,2,0,1,4,1,0,100,100,100,0.727272727272727,1.54545454545455,0.227272727272727,0.0454545454545455,2
47374,3,0,1,4,1,0,86.268032209008,86.485919736114,94.0033444054856,1.02631578947368,1.86842105263158,0.263157894736842,0.0526315789473684,2
47375,3,0,2,4,1,0,66.6666666666667,100,100,1.08888888888889,1.8,0.288888888888889,0.111111111111111,1
47376,3,2,3,4,1,1,75,100,100,0.762886597938144,1.49484536082474,0.216494845360825,0.0515463917525773,3
