"ID_MGN","Saneamiento_Sinconexiones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
40363,2,3,0,2,0,1,81.9044873063313,91.0130610644602,82.8406469895976,1.09677419354839,1.03225806451613,2.45161290322581,0.290322580645161,0.0645161290322581,2
40364,0,3,0,2,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.947368421052632,0.947368421052632,1.89473684210526,0.236842105263158,0.0526315789473684,2
40365,0,2,0,2,0,1,81.9044873063313,91.0130610644602,82.8406469895976,0.75,0.75,1.45,0.3,0.05,2
40366,47,3,0,2,0,0,92.8571428571429,85.7142857142857,92.8571428571429,3.61764705882353,2.23529411764706,1.14705882352941,0.147058823529412,0.0588235294117647,2
40367,1,3,0,1,0,1,93.75,100,93.75,0.695652173913043,0.652173913043478,1.82608695652174,0.434782608695652,0.0869565217391304,2
40368,1,3,0,1,0,0,94.4444444444444,100,94.4444444444444,0.76,0.72,2.16,0.48,0.04,2
40369,2,3,0,3,0,1,95.4545454545455,100,90.9090909090909,0.720930232558139,0.674418604651163,1.30232558139535,0.395348837209302,0.116279069767442,2
40370,6,3,0,2,4,13,83.3333333333333,90,83.3333333333333,0.815384615384615,0.723076923076923,1.10769230769231,0.661538461538462,0.261538461538462,1
40371,0,2,0,1,4,0,75,91.6666666666667,79.1666666666667,1.09090909090909,1.09090909090909,2.54545454545455,0.545454545454545,0,1
40372,0,2,0,1,4,0,65.2173913043478,91.304347826087,73.9130434782609,1.07142857142857,1.07142857142857,2.78571428571429,0.357142857142857,0,1
40373,0,2,0,2,4,1,63.1578947368421,100,68.4210526315789,1.15,1.15,2.1,0.3,0.05,1
40374,0,2,0,1,4,0,76.4705882352941,94.1176470588235,82.3529411764706,0.347826086956522,0.347826086956522,2.1304347826087,0.347826086956522,0.0869565217391304,1
40375,1,2,0,1,4,0,82.3529411764706,94.1176470588235,88.2352941176471,1.1,1.05,1.3,0.3,0.05,1
40376,1,3,0,2,4,0,81.9044873063313,91.0130610644602,82.8406469895976,0.2,0.133333333333333,0.666666666666667,0.533333333333333,0.2,1
40377,0,2,0,2,4,0,73.9130434782609,91.304347826087,78.2608695652174,0.951219512195122,0.951219512195122,1.60975609756098,0.292682926829268,0.0487804878048781,1
40378,0,2,0,2,4,0,75,93.75,81.25,1,1,2.21875,0.28125,0.0625,1
40379,0,3,0,2,4,1,50,100,100,1.0625,1.0625,2.40625,0.28125,0.0625,1
40380,1,3,0,2,4,0,57.1428571428571,71.4285714285714,71.4285714285714,1.13793103448276,1.10344827586207,2.55172413793103,0.310344827586207,0.0689655172413793,1
40381,1,3,0,1,4,0,50,75,62.5,1.48979591836735,1.46938775510204,1.61224489795918,0.224489795918367,0.0204081632653061,1
40382,0,3,0,0,4,1,60,60,60,0.916666666666667,0.916666666666667,2.58333333333333,0.583333333333333,0.0833333333333333,1
40384,0,3,0,0,4,0,50,66.6666666666667,50,0.909090909090909,0.909090909090909,2.31818181818182,0.454545454545455,0.0454545454545455,1
40385,0,3,0,1,4,0,100,100,100,1.70833333333333,1.70833333333333,1.95833333333333,0.333333333333333,0.0416666666666667,1
40386,0,3,0,1,4,2,100,100,100,0.875,0.875,1.4,0.225,0.025,1
40387,2,3,0,1,3,1,100,100,100,0.9,0.833333333333333,1.63333333333333,0.3,0.0333333333333333,1
40388,2,3,0,1,3,0,100,100,100,0.52,0.44,1.44,0.36,0.04,1
40389,13,3,0,3,5,1,81.9044873063313,91.0130610644602,82.8406469895976,0.662337662337662,0.493506493506494,0.038961038961039,0.363636363636364,0.038961038961039,1
40390,0,2,0,2,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.8,0.8,0.05,0.4,0,2
40391,0,2,0,2,4,1,81.9044873063313,91.0130610644602,82.8406469895976,1.04761904761905,1.04761904761905,0.0476190476190476,0.380952380952381,0,1
40392,0,3,0,2,4,0,81.9044873063313,91.0130610644602,82.8406469895976,0.8,0.8,0.266666666666667,0.333333333333333,0.0333333333333333,1
40393,0,3,0,2,0,1,100,100,100,0.884615384615385,0.884615384615385,0.269230769230769,0.346153846153846,0.0769230769230769,2
